same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
No,I had an in-person job or internship,11 to 15,Office Work / Administrative Work,Somewhat well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Legal: (e.g.,  lawyer, judge, paralegal)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"School tuition,Clothes/shoes,Vacation/trip,Other household bills",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Sometimes,Not applicable (N/A),Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
No,,10 or less,Day Care / Day Camp,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,No,Yes,No,Yes,Yes,No,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Clothes/shoes,Sometimes,Sometimes,Most of the time,Sometimes,Never,Never,This does not apply to me,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,More than half the days,Female,White (Not Hispanic or Latino),"Yes, other (please write in)",Only my father
No,I had an in-person job or internship,21 to 25,Food Services,Very poorly,Not likely at all,Not at all supportive,No,No,Yes,Yes,Yes,Yes,Not Very Good At All,Yes,Yes,No,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",Utilities (gas/electric),Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Several days,Several days,Several days,Several days,Female,Hispanic or Latino,"Yes, Spanish",Other (please write in)
Yes,I had an in-person job or internship,10 or less,Food Services,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress)",Enroll at a 4 year college/university,Yes,No,No,No,No,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Prefer not to say,Prefer not to say,I don't pay for any household bills,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,26+,Individual / Group Project Work,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Military: (e.g., army, navy, air force, marines, coast guard)","Enroll at a 4 year college/university,Join the military (e.g., army, navy, air force, marines, coast guard)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",I don't pay for any household bills,Sometimes,Never,Sometimes,Sometimes,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Not applicable (N/A),More than half the days,More than half the days,More than half the days,Several days,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,16 to 20,Individual / Group Project Work,Very well,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,Yes,Yes,Yes,"Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer)",Enroll at a 4 year college/university,No,No,No,Yes,Yes,Yes,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Cell phone,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time,Sometimes,Sometimes,Never,Never,Sometimes,Several days,Several days,Several days,More than half the days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Technology / Computer Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)",Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,No,No,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Groceries,T/bus pass,School tuition",Sometimes,This does not apply to me,Never,Most of the time,Sometimes,This does not apply to me,Most of the time,Never,Sometimes,Most of the time,Never,Never,Not applicable (N/A),Nearly every day,More than half the days,More than half the days,More than half the days,Non-binary,Black or African American (Not Hispanic or Latino),No other language,Other (please write in)
Yes,I had an in-person job or internship,26+,Other,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,"Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Eating out,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
Yes,I had an in-person job or internship,11 to 15,Technology / Computer Work,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)",Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,"Academic skills (i.e. reading, writing, math),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,This does not apply to me,Sometimes,Most of the time,This does not apply to me,Sometimes,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Sometimes,Not applicable (N/A),Several days,Several days,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Only my mother
No,I had an in-person job or internship,16 to 20,Other,Neither well nor poorly,Not sure / maybe,Mostly supportive,Yes,Yes,Yes,Yes,No,Yes,Somewhat Good,Yes,No,No,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Military: (e.g., army, navy, air force, marines, coast guard)",Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,No,Yes,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Several days,Several days,More than half the days,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Arts / Theater / Photography / Media,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,No,Yes,"Education: (e.g.,  teacher, professor, or daycare provider)",Enroll at a 4 year college/university,Yes,No,No,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Sometimes,Sometimes,Never,Sometimes,Never,This does not apply to me,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Several days,Female,White (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,26+,Other,Neither well nor poorly,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Eating out,I don't pay for any household bills",Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Not at all,Not at all,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Health Care / Elder Care,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Most of the time,This does not apply to me,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Male,Asian (Not Hispanic or Latino),"Yes, Chinese",Prefer not to say
No,I had an in-person job or internship,26+,Other,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,No,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Most of the time,Most of the time,This does not apply to me,Most of the time,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Prefer not to say,No other language,Prefer not to say
No,I had a mix of in-person and virtual/remote work,26+,Technology / Computer Work,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator)","Enroll at a 4 year college/university,Work part-time",Yes,No,No,Yes,Yes,Yes,No,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Not applicable (N/A),Several days,Not at all,Not at all,Several days,,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Legal: (e.g.,  lawyer, judge, paralegal),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,T/bus pass,Eating out,Entertainment,Vacation/trip",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Neither well nor poorly,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work part-time",Yes,No,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar),Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Eating out,Entertainment,Prefer not to say",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,This does not apply to me,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),More than half the days,More than half the days,Several days,Several days,Female,Hispanic or Latino,"Yes, Portuguese",Both of my parents
No,I had an in-person job or internship,26+,Health Care / Elder Care,Somewhat well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,This does not apply to me,Never,Never,Never,Most of the time,Most of the time,Most of the time,Most of the time,Never,Sometimes,Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, other (please write in)",Both of my parents
No,I had a mix of in-person and virtual/remote work,26+,Office Work / Administrative Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)","Enroll at a 4 year college/university,Work part-time",Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Groceries,Utilities (gas/electric),Clothes/shoes,Eating out,Entertainment,Other household bills",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Not applicable (N/A),Several days,Several days,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had an in-person job or internship,26+,Day Care / Day Camp,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,No,Yes,Neither Good Nor Bad,Yes,Yes,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Education: (e.g.,  teacher, professor, or daycare provider)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,No,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,"Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Most of the time,This does not apply to me,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had an in-person job or internship,11 to 15,Technology / Computer Work,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"T/bus pass,Eating out,Entertainment",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Several days,Male,Hispanic or Latino,"Yes, Spanish",Only my mother
Yes,I had an in-person job or internship,26+,Day Care / Day Camp,Neither well nor poorly,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,,Yes,"Management: (e.g., CEO, director, manager),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,Yes,Yes,Yes,Yes,,Yes,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,"Academic skills (i.e. reading, writing, math),Job readiness skills (i.e. writing a resume and interviewing)",Prefer not to say,Prefer not to say,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),More than half the days,Several days,Several days,Several days,Male,Hispanic or Latino,"Yes, Spanish",Only my mother
No,I had a mix of in-person and virtual/remote work,16 to 20,Arts / Theater / Photography / Media,Poorly,Probably not,Very supportive,No,Yes,Yes,Yes,No,Yes,Neither Good Nor Bad,No,No,Yes,No,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)",Enroll at a 2 year community college,Yes,No,No,Yes,No,No,No,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Entertainment,Most of the time,Never,Sometimes,This does not apply to me,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Several days,Several days,Not at all,Several days,Male,Hispanic or Latino,"Yes, Spanish",Only my father
Yes,I had an in-person job or internship,26+,Day Care / Day Camp,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Education: (e.g.,  teacher, professor, or daycare provider)","Enroll at a 4 year college/university,Work part-time",Yes,No,No,No,Yes,No,No,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Car,Clothes/shoes,Eating out",Most of the time,Most of the time,Most of the time,This does not apply to me,Sometimes,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,White (Not Hispanic or Latino),No other language,Both of my parents
No,I had a mix of in-person and virtual/remote work,26+,Library / Research / Writing,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Education: (e.g.,  teacher, professor, or daycare provider),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Sometimes,Never,Most of the time,Sometimes,Sometimes,This does not apply to me,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Not applicable (N/A),Not at all,Not at all,Several days,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Chinese",My grandparent(s)
