same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,10 or less,Food Services,Very well,Likely,Often supportive,Yes,Yes,Yes,,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Sports: (e.g., coach, athlete)","Enroll in an apprenticeship program (e.g., construction, hospitality),Work full-time,Other (please write in):",Yes,Yes,,Yes,Yes,Yes,Yes,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Most of the time,Never,Never,Never,This does not apply to me,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Several days,Nearly every day,Not at all,More than half the days,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had a virtual (remote) job or internship,21 to 25,Other,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,No,No,Yes,Yes,"Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Cell phone,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had an in-person job or internship,21 to 25,Other,Somewhat well,Probably not,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)","Enroll at a 2 year community college,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,,Most of the time,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,More than half the days,Nearly every day,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had an in-person job or internship,16 to 20,Technology / Computer Work,Very well,Very likely,Very supportive,Yes,Yes,No,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,I don’t know,Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,No,Yes,Yes,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,"Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,Eating out",Most of the time,Sometimes,Most of the time,Most of the time,Never,This does not apply to me,Sometimes,Most of the time,Most of the time,Sometimes,Not applicable (N/A),Most of the time,Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had a virtual (remote) job or internship,11 to 15,Other,Very well,Likely,Very supportive,Yes,Yes,,Yes,Yes,,Very Good,Yes,Yes,,,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Farming, Fishing, and Forestry: (e.g.,  conservationist, agricultural inspector),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair)","Enroll at a 4 year college/university,Enroll at a 2 year community college,Work full-time,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Prefer not to say,Prefer not to say,Prefer not to say
No,I had a virtual (remote) job or internship,16 to 20,Individual / Group Project Work,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,No,Somewhat Good,No,No,Yes,No,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Education: (e.g.,  teacher, professor, or daycare provider),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Sports: (e.g., coach, athlete)",Enroll at a 2 year community college,Yes,Yes,Yes,Yes,Yes,No,Yes,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Cell phone,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Several days,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Spanish",Both of my parents
Yes,I had an in-person job or internship,21 to 25,Other,Very well,Not sure / maybe,Somewhat supportive,No,No,Yes,No,No,No,Very Good,Yes,Yes,Yes,Yes,"Education: (e.g.,  teacher, professor, or daycare provider)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Prefer not to say,Prefer not to say,Prefer not to say,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,This does not apply to me,Never,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Prefer not to say
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,I had a mix of in-person and virtual/remote work,16 to 20,Other,Very well,Probably not,Very supportive,,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)",Work full-time,Yes,No,Yes,Yes,Yes,Yes,Yes,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
